# Overrides PT-BR (linha: "Original","Tradução")
# Mantém o formato CSV simples usado pelo DFInt.
"natural minor","menor natural"
"harmonic minor","menor harmônica"
"melodic minor","menor melódica"
"[C:6:0:0].Minor burn","[C:6:0:0].Queimadura leve"
"[C:6:0:0].Minor frost-bite","[C:6:0:0].Congelamento leve"
"[C:6:0:0].Minor melting","[C:6:0:0].Derretimento leve"
"[C:6:0:0].Minor boiling","[C:6:0:0].Ebulição leve"
"[C:6:0:0].Minor freezing","[C:6:0:0].Congelamento leve"
"[C:6:0:0].Minor condensation","[C:6:0:0].Condensação leve"
"[C:5:0:1].Minor rot","[C:5:0:1].Podridão leve"
"[C:6:0:0].Minor blistering","[C:6:0:0].Empolamento leve"
"[C:7:0:1].Minor pain","[C:7:0:1].Dor leve"
"*Created By","*Criado por"
"*Artwork","*Arte"
"*Audio/Music Lead","*Liderança de Áudio/Música"
"*Composers","*Compositores"
"*Programmer","*Programador"
"*Captain","*Capitão"
"*Commmunications","*Comunicações"
"*Illustrator","*Ilustrador"
"*Trailers","*Trailers"
"*Initial Playtesting","*Testes Iniciais"
"*Lots of HTML/IT stuff","*Muita coisa de HTML/IT"
"*First Mac port","*Primeira versão para Mac"
"*SDL port, additional changes","*Port de SDL, mudanças adicionais"
"*OpenGL upgrade to this millenium, additional changes","*Atualização OpenGL para este milênio, mudanças adicionais"
"*Additional changes for the SDL Port","*Mudanças adicionais para o port SDL"
"*DF 2010 Playtesting","*Testes DF 2010"
"*Bug Tracker Managers","*Gestores do Rastreador de Bugs"
"*Premium DF Playtesting","*Testes DF Premium"
"*UX Advisor","*Consultor de UX"
"*Special Thanks","*Agradecimentos Especiais"
"Thank you to all of our supporters over the years,","Obrigado a todos os nossos apoiadores ao longo dos anos,"
"and everybody who has helped out on the forum and","e a todos que ajudaram no fórum e"
"elsewhere to keep the project afloat these two","em outros lugares para manter o projeto à tona nestas duas"
"decades.","décadas."
