# Original,Translation (dfint overrides)
'o',o
(etc),(etc.)
(mods),(mods)
/N,/N
/NE,/NE
/S,/S
/SE,/SE
AUGIS,AUGIS
Animal,Animal
Box,Caixa
Chain,corrente
Charge,carga
Choke,engasgar
Dwarf Fortress: Arena,Dwarf Fortress: Arena
Early,Inicial
Encrust,incrustar
Extract,extrair
Ha!,Ha!
I,Eu
Jovial,jovial
Lava,lava
Logs,toras
On,Ligado
Org:,Org.
Portal,portal
Qst,Qst
STORKIS,STORKIS
Suck,sugar
Superior,Superior
Unretire,desaposentar
Vapor,vapor
aardvark,porco-da-terra
aardvarks,porcos-da-terra
abdomens,abdômenes
almandine,almandina
altar,altar
anaconda,anaconda
anacondas,anacondas
antman,homem-formiga
antmen,homens-formiga
aye-aye,aye-aye
b.,b.
baron,barão
bayberries,bagas-de-baía
bentgrass,grama-dobrada
bilou,bilou
birchen,de-bétula
black mamba,mamba-negra
book,livro
bounces,quica
bronze,bronze
bully,valentão
bushmaster,surucucu
bushmasters,surucucus
bushtits,chapins-de-arbusto
cacao pod,vagem de cacau
candlenut,nogueira-da-vela
candlenuts,nogueiras-da-vela
capuchins,macacos-prego
carambola,carambola
cardinal,cardeal
carpetgrass,capim-tapete
cassowaries,casuares
cassowary,casuar
casual,casual
catkins,amentos
cattails,taboas
cavy,cobaia
chance,chance
chartreuse,chartreuse
chrysoberyl,crisoberilo
chrysocolla,crisocola
chrysoprase,crisópraso
citron,cidra
cloudberries,amoras-do-pântano
cloudberry bud,broto de amora-do-pântano
clown loach,botia-palhaço
cockatiel,calopsita
cockatiels,calopsitas
coda,coda
coelacanths,celacantos
cones,cones
console,console
consoles,consoles
copperhead snake,cobra-cabeça-de-cobre
cottongrass,capim-algodão
cottongrass bud,broto de capim-algodão
cougar cub,filhote de puma
cranberries,oxicocos
cranberry,oxicoco
cyclops,ciclope
cygnets,filhotes de cisne
d.,d.
dallisgrass,capim-dallis
damselfly,libélula
demantoid,demantoide
dingo,dingo
dingoes,dingos
drakes,patos-machos
durian,durião
ecru,écru
ettin,ettin
ettins,ettins
favor,favor
fellow artist,artista colega
fonio,fonio
foxtail millet,painço rabo-de-raposa
fungiwood,madeira-fúngica
fungiwoods,madeiras-fúngicas
ganders,gansos-machos
gen,ger.
glumprong,glumprong
glumprongs,glumprongs
gnomeblight,praga-do-gnomo
goblin-cap,chapéu-de-goblin
goblin-caps,chapéus-de-goblin
goldenrod,dourado
goo,gosma
gores,chifradas
grackle hatchling,filhote de graúna
grama,grama
grimeling,grimeling
grimelings,grimelings
grizzly bear cub,filhote de urso-pardo
halibut,halibute
halibut fry,alevinos de halibute
hammerers,marteladores
hamster,hamster
heliodor,helidoro
hide root,raiz-oculta
humor,humor
ibex,íbex
ibexes,íbexes
ichor,ícor
ichorous,icoroso
ies,ias
indigo,índigo
item,item
jabberer hatchling,filhote de jabberer
jade,jade
jaguar,onça-pintada
jaguar cub,filhote de onça-pintada
kapoks,sumaúmas
kingsnake,cobra-rei
kingsnakes,cobras-rei
knotgrass,capim-nó
koala,coala
koalas,coalas
kumquat,kumquat
kunzite,kunzita
leggings,perneiras
leverets,lebres jovens
log,tora
long,longo
longfin mako shark,tubarão-mako de barbatanas longas
longnose gar,peixe-jacaré de focinho longo
longnose gar fry,alevinos de peixe-jacaré de focinho longo
lorikeet hatchling,filhote de lóri
lynx,lince
macadamia raceme,rácemo de macadâmia
mace,maça
magma,magma
magpie hatchling,filhote de pega
manager,gerente
manes,juba
maples,bordos
marlin fry,alevinos de marlim
meadowsweet,filipêndula
meadowsweet bud,broto de filipêndula
merman,tritão
mermen,tritões
merpeople,povo-sereia
merperson,pessoa-sereia
metal,metal
milkable,ordenhável
milkfish fry,alevinos de peixe-leite
millable,moível
minecart,vagonete
minecarts,vagonetes
mink,vison
morganite,morganita
morion,morion
morningstars,estrelas-da-manhã
narwhal,narval
narwhals,narvais
nasal,nasal
nautilus,náutilo
nether-cap,chapéu-do-submundo
nightwing,asa-noturna
none,nenhum
nostalgia,nostalgia
ogre,ogro
ogres,ogros
ogresses,ogras
onyxes,ônix
opah fry,alevinos de opah
ospreys,águias-pescadoras
oval,oval
panda cub,filhote de panda
pandas,pandas
pangolins,pangolins
parsnip umbel,umbela de pastinaca
pecan,pecã
pedestal,pedestal
perry,perada
pileated gibbon,gibão-pilado
pomelo,pomelo
pot,pote
poult,filhote de peru
prase,prase
pts,pontos
puce,púrpura-acastanhado
puggle,puggle
puggles,puggles
pus,pus
puzzleboxes,caixas de quebra-cabeça
quinoa,quinoa
ram,carneiro
rambutan,rambutã
