# Original,Translation (text_*.txt)
who was too short to live,que era baixo demais para viver
who tunneled away from me like a frightened mole,que cavou para longe de mim como uma toupeira assustada
who sucked plump helmets like a purring maggot,que sugou capacetes-gordinhos como um verme ronronante
whose hammer shattered on the anvil of my power,cujo martelo se despedaçou na bigorna do meu poder
who forged [PRO_POS] own doom by challenging me,que forjou [PRO_POS] própria ruína ao me desafiar
who was returned to the rock and muck from which it was spawned,que foi devolvido à rocha e ao lodo de onde surgiu
whose tall tales of bravery were all the more embarrassing because of [PRO_POS] height,cujas bravatas de bravura eram ainda mais constrangedoras por causa da altura de [PRO_POS]
who was felled like a slender sapling,que tombou como uma muda esguia
whom I sent back to the home-tree as fertilizer,a quem enviei de volta à árvore-lar como adubo
whose fragile bones shattered before the power of my contempt,cujos ossos frágeis se despedaçaram diante do poder do meu desprezo
who came down from the home-tree and was devoured,que desceu da árvore-lar e foi devorado
who should have stayed in the trees when the real elves came down to fight,que deveria ter ficado nas árvores quando os elfos de verdade desceram para lutar
I want your bones for my bone mill!,Quero seus ossos para meu moinho de ossos!
I'll grind you into porridge!,Vou moer você até virar mingau!
I'll eat you whole!,Vou engolir você inteiro!
seek out [CONTEXT:HIST_FIG:TRANS_NAME] at [CONTEXT:ABSTRACT_BUILDING:TRANS_NAME] over in [CONTEXT:SITE:TRANS_NAME],"procure [CONTEXT:HIST_FIG:TRANS_NAME] em [CONTEXT:ABSTRACT_BUILDING:TRANS_NAME], lá em [CONTEXT:SITE:TRANS_NAME]"
I have taken down [CONTEXT:NUMBER] [CONTEXT:RACE:NUMBERED_NAME] while stalking [CONTEXT:PLACE:TRANS_NAME].,Derrubei [CONTEXT:NUMBER] [CONTEXT:RACE:NUMBERED_NAME] enquanto caçava em [CONTEXT:PLACE:TRANS_NAME].
